column,spark_type
target_match_methods,array<string>
event_sources,array<string>
medical_claim_count,long
medical_patient_count,long
hcp_npi,string
hcp_name,string
specialty_primary,string
engagement_score,double
digital_engagement_score,double
engagement_score_100pt,double
engagement_category,string
engagement_score_method,string
engagement_score_source,string
visit_frequency_score,double
activity_completion_score,double
recency_score,double
tactic_execution_score,double
insight_engagement_score,double
key_message_score,double
total_activity_count,long
visit_count,long
completed_activity_count,long
negative_activity_count,long
active_activity_days,long
last_activity_dt,date
days_since_last_activity,integer
trigger_total_count,long
trigger_delivered_count,long
trigger_accepted_count,long
last_trigger_delivery_ts,timestamp
last_trigger_acceptance_ts,timestamp
trigger_type_count,long
trigger_channel_count,long
period_start,date
therapeutic_area,string
brand_trx,long
market_trx,long
market_share,double
market_share_pct,double
brand_patient_count,long
market_patient_count,long
brand_hcp_count,long
market_hcp_count,long
brand_ndc_count,long
market_brand_count,long
business_metric_name,string
market_share_method,string
market_basket_definition,string
authoritative_source_note,string
