feature,type,source_table,lookback_window,null_rate,notes
elx_pulmonary_circulation,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_pvd,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_renal_failure,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_rheumatoid_collagen,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_solid_tumor_no_metastasis,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_valvular_disease,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_weight_loss,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
enrollment_duration_days,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
gdr_cd,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
geographic_region,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
health_exchange_flag,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
high_comorbidity_burden_flag,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
lis_dual_flag,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
payer_bus,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
payer_category,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
payer_product,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
persistent_at_180d_g28,target,optum_mart.patient,derived,,supervised label (post-index)
index_biologic_brand,treatment,optum_mart.patient,post-index (mart_treatment),,CAUSAL export only — the treatment / its anchor / a secondary outcome; never a prediction feature (manifest forbids it as such)
treatment_dupixent,treatment,optum_mart.patient,post-index (mart_treatment),,CAUSAL export only — the treatment / its anchor / a secondary outcome; never a prediction feature (manifest forbids it as such)
treatment_start_date,anchor,optum_mart.patient,post-index (mart_treatment),,CAUSAL export only — the treatment / its anchor / a secondary outcome; never a prediction feature (manifest forbids it as such)
discontinued_180d,outcome,optum_mart.patient,post-index (mart_treatment),,CAUSAL export only — the treatment / its anchor / a secondary outcome; never a prediction feature (manifest forbids it as such)
biologic_switch_180d_flag,outcome,optum_mart.patient,post-index (mart_treatment),,CAUSAL export only — the treatment / its anchor / a secondary outcome; never a prediction feature (manifest forbids it as such)
persistent_at_180d,outcome,optum_mart.patient,post-index (mart_treatment),,CAUSAL export only — the treatment / its anchor / a secondary outcome; never a prediction feature (manifest forbids it as such)
